,glass,ingredients,instruction_length,mean_alcohol_percentage,complexity_score,Cocktail,Ordinary Drink,Punch / Party Drink,ingredient_pc1,ingredient_pc2,ingredient_pc3,ingredient_pc4,ingredient_pc5,ingredient_pc6,ingredient_pc7,ingredient_pc8,ingredient_pc9,ingredient_pc10
53,2,6,195,10,10.0,0,1,0,-0.014981801967482557,-0.0022586959573479204,0.22076986157325493,0.0035727819605398878,0.05716292686501152,0.038698315906041725,-0.09177925950035228,-0.054384806285078545,-0.011652444689762625,0.09483461227881114
54,4,5,148,10,8.0,0,1,0,-0.01498180196748248,-0.0025738560445202107,0.053436623329897,-0.007875938212490585,-0.059583508141746185,0.04193742880812277,0.01843919506903541,0.005715039413749473,-0.10062765202971943,-0.008769913708870088
55,4,4,158,10,5.999999999999999,0,1,0,-0.01498180196748248,-0.002573856044520212,-0.012684747124911487,-0.023394901218086215,0.02311504616994398,0.004833066504347102,-0.03153432347168673,-0.02643117260951486,0.01777898727511112,0.04888405040621077
56,2,3,172,10,8.0,0,1,0,-0.01498180196748248,-0.0025738560445202154,0.04250313253092529,-0.0939549752338052,0.06933468630460096,0.024344906070894037,0.07255942485376725,0.005263793443033719,-0.06533405582472633,0.005886269681300616
57,5,6,223,6,10.0,0,1,0,-0.014981801967482503,-0.002420534921030989,-0.010479167732948104,-0.06836176747128296,-0.08596940516622821,-0.03514824042961253,0.000778010848695415,0.07150166161795521,0.05028497615675178,-0.08009331157512205
58,1,4,72,10,5.999999999999999,0,1,0,-0.014981801967482437,-0.0030593729355694243,-0.005298704815787639,-0.027351868220130516,-0.12165998368457773,0.12867477450757545,-0.1451747548642396,0.138260988797459,0.044556674416397886,0.135876615166437
59,4,5,109,8,5.999999999999999,0,1,0,-0.01498180196748244,-0.0029656766934371198,0.22110323487274142,0.024060872378388203,-0.1074275356063067,-0.0008437094241384237,-0.23148557928971028,-0.012528001452760616,0.08705611006440751,-0.11814790773670622
60,6,5,184,2,8.0,0,1,0,-0.014981801967482503,-0.0024205349210309904,0.045286857398443424,-0.05314303448554761,-0.03587828056346105,-0.024889184114704876,-0.03431402936632971,0.10960958194039323,0.0009301260137456051,-0.06417934189816343
61,1,3,72,10,5.999999999999999,0,1,0,-0.01498180196748248,-0.002573856044520212,-0.10787957023683106,0.010222694035689739,0.43241644616781955,0.030618834502968432,-0.14571010898750444,-0.044191102380214134,-0.044865191404919305,-0.18024981672140794
62,3,6,154,10,8.0,0,1,0,-0.014981801967482557,-0.0022586959573479178,-0.19947277083792594,-0.034930538974739585,-0.16412627216429027,-0.011826782535537268,-0.07609624442057018,-0.13642246908335492,0.10738429669779921,0.17155179041821741
63,6,3,146,13,4.0,0,1,0,-0.014981801967482413,-0.003595996867781713,0.02365582680601374,0.009557001281279929,0.0730511520452774,0.14686850055332304,0.09180733553022281,0.0033374935109176432,0.07124209058435674,0.002338518208931491
64,1,3,113,10,5.999999999999999,0,1,0,-0.01498180196748248,-0.0025738560445202146,0.047790692479443,0.006279653385442193,0.11974322041311442,-0.014006100557035299,0.04356578809886574,0.07507420218888679,-0.11007837635398755,-0.023910748725733674
65,1,3,71,4,5.999999999999999,0,1,0,-0.014981801967482385,-0.003723764470689398,-0.0787592956191966,0.016816353441100596,-0.10886844024769139,0.05920905717099637,-0.17171600016157212,0.048626129908071636,-0.07938008093298513,-0.13666225842198998
66,3,3,82,10,4.0,0,1,0,-0.01498180196748248,-0.0025738560445202115,-0.04173793990675974,-0.007002731848093864,-0.0714579832201851,-0.013297487739230023,-0.018010536879959346,-0.12115240899467423,0.12826652509478956,-0.006555360699979578
67,3,3,121,13,8.0,0,1,0,-0.01498180196748244,-0.0029656766934371198,0.04254565154176916,0.006946781543214331,-0.022660797510327856,0.03454416581323692,-0.11947427592349291,0.0006150857068628316,-0.057128489466605335,0.04456971962092036
68,1,3,149,10,5.999999999999999,0,1,0,-0.014981801967482425,-0.0034171222237109494,0.04425335431731544,0.037385194654220764,0.011840515607246303,0.037060721076235495,0.06659186810234723,0.02152093593032645,0.11993270646638894,-0.06860265856016266
69,1,4,122,10,5.999999999999999,0,1,0,-0.01498180196748248,-0.0025738560445202133,0.11839788258584691,0.01007539490224607,-0.031667495275952674,0.061164989174880585,-0.046651342617833255,0.0832382581415706,0.15977684263742914,0.06999236046185014
70,3,5,216,8,10.0,0,1,0,-0.014981801967482493,-0.0027016236474278993,0.024321975685061004,-0.02423620671219396,-0.02504667738280056,-0.01760819805929485,-0.1247564335400744,-0.14189094131799337,0.08774035572900422,-0.010274752656806623
71,1,6,196,10,4.0,0,1,0,-0.014981801967482455,-0.002701623647427901,0.02324336920681631,-0.0037426282398739597,-0.18905639414108835,-0.0736034657895665,0.25662966730911646,-0.1083353252959306,0.0830372851859578,0.048070299260839326
72,2,2,98,20,5.999999999999999,0,1,0,-0.014981801967482432,-0.0033404616619663375,0.00021662563258699653,0.021711975983718806,-0.02592517106647869,0.12720791800105352,0.10560946120978462,-0.016798167874405613,0.11350994742192473,-0.10420747499729963
73,1,4,72,10,5.999999999999999,0,1,0,-0.014981801967482408,-0.003578961187394019,-0.011289500146587104,-0.014019444700171458,0.01614896417715777,-0.17373403600240145,0.13584051767304556,-0.05427553140512495,0.2095543166152004,-0.01925143405371024
74,1,3,80,9,5.999999999999999,0,1,0,0.988798929853846,5.578928148826136e-17,-1.387778780781446e-16,-6.505213034913028e-18,-8.326672684688673e-17,1.2490009027033009e-16,7.63278329429795e-17,2.4286128663675296e-17,-6.245004513516504e-17,5.2041704279304205e-18
75,4,4,156,10,4.0,0,1,0,-0.01498180196748245,-0.002497195482775602,-0.07042821234265662,0.06145110995346777,0.08141844091095223,0.06085839233720255,-0.00983786049066841,-0.030824783750052476,0.0846165221259323,0.027772401893421197
76,6,6,222,10,4.0,0,1,0,-0.01498180196748248,-0.002573856044520212,-0.03498807299971326,-0.09945923465318181,-0.025225755626770284,-0.008355770042421379,0.1320448656754932,0.04166370978945925,-0.025367878677061428,-0.03947007717896082
77,2,4,166,10,4.0,0,1,0,-0.014981801967482417,-0.003996335356892465,-0.09390543832277819,0.00615505973768814,-0.03445472669245518,-0.10093223157987526,0.007516716623746661,-0.12478317798982855,-0.15932913931859102,-0.1482081920288735
78,1,4,160,10,4.0,0,1,0,-0.014981801967482417,-0.0039963353568924645,0.0620009541017232,0.003473688486556354,0.010437539924630734,0.1621339606629902,0.0024313820621422286,-0.058670149833874516,-0.019432446294017518,-0.1472795129690401
79,2,4,98,10,5.999999999999999,0,1,0,-0.014981801967482462,-0.003118997816926347,-0.045608061383575565,0.003066276197467582,-0.07132292680655353,-0.014329954904664505,-0.009275169525124525,-0.03466920156948732,-0.10714873277544254,-0.004171903183835622
80,3,3,124,13,5.999999999999999,0,1,0,-0.014981801967482456,-0.003297872460997109,-0.08150984961606307,0.02396087233221234,0.028601996525410504,0.09593915976646616,-0.07428954675565315,-0.019721948840706615,0.027638387742081712,0.19826789136232684
81,5,5,241,8,8.0,0,1,0,-0.014981801967482425,-0.0036215503883632477,0.4077685017891433,-0.010468684236097758,-0.020968021023539517,0.13890351694091607,-0.000759452707507777,-0.17019941799657543,-0.06847582051617475,0.03439629249433977
82,2,6,186,6,8.0,0,1,0,-0.014981801967482462,-0.0035108184658432526,0.047450714255692875,0.01753213182304382,0.007437786320592059,-0.10677504175354934,-0.06812620522049667,0.19445261369260727,0.03288114955923196,-0.023965609476176254
83,3,4,94,10,2.0,0,1,0,-0.014981801967482425,-0.003621550388363249,0.031199114374854148,-0.010126734549691917,-0.05498972660733495,-0.015506459332575767,0.11080828527774252,-0.19064795842562124,0.0325730152465865,-0.07875532392685562
84,2,5,170,8,8.0,0,1,0,-0.014981801967482425,-0.0038174607128217027,0.06372711892067831,0.011909355030655482,-0.022298976709640383,0.10040576902456018,0.006764036228924384,0.04553207462634959,-0.020584748570246107,0.1229028976619155
85,2,6,155,6,5.999999999999999,0,1,0,-0.014981801967482444,-0.003468229264874022,0.06579511353529037,0.007245059013080847,0.013943296226286947,-0.12239073490416175,0.13071676357026393,-0.08568095528913863,0.08274523429891804,-0.049001175395273884
86,4,5,167,8,8.0,0,1,0,-0.014981801967482425,-0.003817460712821702,-0.09440981871191419,0.0011842499262199773,-0.030229370563808606,-0.08772522467262228,0.0296329814312024,0.12799689659008195,-0.13596319769526685,-0.11316558491307184
87,3,6,201,6,5.999999999999999,0,1,0,-0.014981801967482434,-0.003153069177701728,-0.07996491573867567,9.998282651796713e-06,-0.03681164763468273,0.0039691919379477745,-0.1475622423581628,0.08898755967323081,-0.0009050656929532529,0.1489999403732445
88,3,5,248,8,10.0,0,1,0,-0.014981801967482463,-0.003417122223710948,0.1364209035166632,0.007025208851127854,0.17926925194096988,-0.10068687238096348,0.01936538367547438,0.10741497380275716,0.27282774166686896,0.0511106163412666
89,2,4,127,10,10.0,0,1,0,-0.014981801967482456,-0.0032978724609971093,-0.05373133595186723,-0.02381185312693322,0.07369057290237617,-0.21948714228941482,-0.0171825717617234,-0.0031127411600740972,-0.19746002656452344,-0.02911139301020349
90,6,3,86,22,8.0,0,1,0,-0.01498180196748238,-0.004302977603870915,-0.0522192489346408,-0.014042676637957299,-0.009417586865530401,-0.0633735396006128,-0.016393485505923462,-0.11183379323848193,0.07107606646080834,0.19744705524094114
91,2,2,90,14,4.0,0,1,0,-0.014981801967482404,-0.0039622639961170835,-0.0321295985948175,-0.007257367599462125,-0.060396631815230216,-0.02524858226216978,0.15795669745622892,0.1135440125370683,0.06305964475529406,0.017311939879552752
92,2,2,71,34,2.0,0,1,0,-0.014981801967482413,-0.003979299676504774,0.023326514109657047,0.00796743124815725,-0.13458023386702161,-0.11374730742182566,0.09283136918501274,0.09592901458255323,0.006205837859345637,0.05647589861355333
93,2,5,183,8,8.0,0,1,0,-0.014981801967482462,-0.0035108184658432535,-0.1239353613205449,0.0010011095388445675,-0.004349630238639504,-0.1346714398693132,-0.02670371935420446,0.06504178266771224,-0.08288128664829165,0.06643477791193265
94,5,3,105,13,5.999999999999999,0,1,0,-0.01498180196748239,-0.004422227366584756,-0.05025202283977141,-0.007619545876836123,0.035638659306486756,-0.03258789105410121,-0.08221911671166993,0.032660524242976406,-0.09851183511809719,-0.07009078902074402
95,1,3,113,10,5.999999999999999,0,1,0,-0.014981801967482469,-0.0035278541462309457,0.0608447106850179,0.04312268682888372,0.024378876003070222,0.05932121059265534,0.030293636819836354,-0.06658252894548247,-0.19251710950483347,0.2539792011131175
96,1,3,72,13,5.999999999999999,0,1,0,-0.014981801967482463,-0.0034171222237109485,-0.14821399391968426,-0.10470022541240714,0.01666234890663981,-0.028923115756869868,-0.04832225516286807,-0.1289003206376482,0.10527349201666215,0.0025495866110428855
97,1,4,103,10,5.999999999999999,0,1,0,-0.014981801967482417,-0.0038004250324340113,-0.060108948031564774,0.013276869846550642,0.029482812803107817,0.08354856109793896,0.15772082262934273,0.19224438395379415,-0.08557483703285623,-0.05521597667550186
98,3,5,154,8,8.0,0,1,0,-0.01498180196748245,-0.003187140538477112,0.0029819832727721535,-0.02403398989778889,0.05522749395324536,0.05731893754254783,-0.11925697488984807,0.03844830765481842,0.06294137901863381,-0.053384122220838215
99,5,6,158,10,5.999999999999999,0,1,0,-0.014981801967482541,-0.0027186593278155924,-0.17050755115583344,-0.027054246523329165,-0.08624410591972743,-0.09115153061265775,-0.0009015071989255332,-0.1172893693230959,0.039175037378999925,-0.06537172211176003
100,1,3,72,11,5.999999999999999,0,1,0,-0.014981801967482408,-0.0035789611873940194,0.009811404708433879,0.005489429956376107,0.049164099689653504,-0.015020010125255603,0.03921146634839736,0.02102636025072352,0.010995783565906301,-0.038091986790144146
101,3,6,154,6,8.0,0,1,0,-0.014981801967482486,-0.0027782842091725146,0.017304228848322608,0.0003405134799105217,-0.0927509644386355,0.040491382964830014,0.04931563397491268,-0.002425435494306224,0.0007619158364383509,0.023795187108122687
102,1,3,118,13,5.999999999999999,0,1,0,-0.014981801967482425,-0.003817460712821702,0.06106988876582184,0.009598786998231133,0.02038856850246991,-0.0005298278050606232,0.08650152499988532,-0.0014283924920929518,0.011415571075474999,-0.16844956040514797
103,5,6,121,10,5.999999999999999,0,1,0,-0.01498180196748245,-0.003187140538477112,-0.046439994040653805,-0.09288046310282602,0.010781327330306555,-0.08663404342219941,-0.1164139206244408,0.06731435426309637,0.03700236585347781,0.15902443792021279
104,1,3,78,13,4.0,0,1,0,-0.014981801967482417,-0.004592584170461669,-0.031975105094813515,0.005295627871646848,-0.07648266007136996,-0.07342392349468692,-0.032476650946958376,0.08604114979397073,-0.08417612329949753,-0.11511772801949408
105,10,2,55,10,1.0,0,1,0,-0.014981801967482432,-0.003340461661966336,0.04239656857633394,-0.013035660348674514,-0.07658714559904477,-0.018587906635907852,-0.11672091513122027,0.11895288548037417,-0.06560288291139334,-0.019961323210469086
106,1,3,145,10,4.0,0,1,0,-0.014981801967482432,-0.0033404616619663375,0.002672774748722275,0.015498939144136241,0.03568814477224058,0.025848754395112566,0.008297049617784711,-0.01635439589252673,-0.0026404534352248345,0.01035917197333501
107,1,6,154,6,8.0,0,1,0,-0.014981801967482434,-0.003153069177701728,-0.11206461339100027,-0.00699999303900681,0.06537921227290228,0.14492514096330159,0.28550607064379413,-0.11502344961319606,0.04588481190607186,-0.047859136992726876
108,1,4,160,10,5.999999999999999,0,1,0,-0.014981801967482396,-0.004047442398055541,-0.07950495373750849,-0.012264380105751515,-0.012835875917149511,-0.009139874024129626,0.25465269248213185,-0.041258915218756645,-0.24968193244035697,0.00506515525317668
109,1,3,118,13,5.999999999999999,0,1,0,-0.014981801967482434,-0.004141138640187844,-0.03583314207453047,0.03669370410284417,0.0538395316455377,0.017582958173316458,-0.09936064168980491,0.1164861001239652,-0.04314942982279319,-0.04650437681984409
110,1,2,67,20,5.999999999999999,0,1,0,-0.014981801967482486,-0.003970781836310928,-0.033855653603144166,-0.008436142152602145,0.009976850945528496,-0.026673609768239695,0.08792998365903394,0.2815860479726604,0.2114734081390666,0.046083500417873034
111,5,6,255,6,10.0,0,1,0,-0.014981801967482439,-0.003953746155923235,-0.1316369879114667,0.021505851697417634,0.08298385182207756,-0.0018318993698394415,-0.10039058181779648,0.031065862759063447,-0.05791775864536211,0.22045759730411174
112,2,2,95,20,4.0,0,1,0,-0.01498180196748248,-0.0032638011002217257,0.05529976794651539,0.01021618459480463,0.035569841028805275,0.10147930749945684,0.153539588664348,0.11120983152961524,-0.06101142327909385,0.1536393631773389
