,category,glass,ingredients,instruction_length,mean_alcohol_percentage,complexity_score
93,Ordinary Drink,Old-fashioned glass,"['Gin', 'Grenadine', 'Pineapple Juice', 'Pineapple', 'Triple Sec']",183,8,8.0
94,Ordinary Drink,Collins glass,"['Vodka', 'Galliano', 'Orange Juice']",105,13,5.999999999999999
95,Ordinary Drink,Cocktail glass,"['Lemon Juice', 'Light Rum', 'Pineapple Juice']",113,10,5.999999999999999
96,Ordinary Drink,Cocktail glass,"['Gin', 'Pineapple Juice', 'Triple Sec']",72,13,5.999999999999999
97,Ordinary Drink,Cocktail glass,"['Scotch', 'Olive', 'Orange Bitters', 'Sweet Vermouth']",103,10,5.999999999999999
98,Ordinary Drink,Highball glass,"['Blended Whiskey', 'Carbonated Water', 'lemon', 'Light Rum', 'Powdered Sugar']",154,8,8.0
99,Ordinary Drink,Collins glass,"['Cherry', 'Irish Whiskey', 'Orange Juice', 'Orange', 'Peach brandy', 'Sweet and Sour']",158,10,5.999999999999999
100,Ordinary Drink,Cocktail glass,"['Apple Brandy', 'Grenadine', 'Lime']",72,11,5.999999999999999
101,Ordinary Drink,Highball glass,"['Blended Whiskey', 'Carbonated Water', 'Egg White', 'lemon', 'Port', 'Powdered Sugar']",154,6,8.0
102,Ordinary Drink,Cocktail glass,"['Gin', 'Green Chartreuse', 'Yellow Chartreuse']",118,13,5.999999999999999
103,Ordinary Drink,Collins glass,"['Bourbon', 'Club Soda', 'Lemon Juice', 'Maraschino Cherry', 'Orange', 'Sugar']",121,10,5.999999999999999
104,Ordinary Drink,Cocktail glass,"['Vodka', 'Lime Juice', 'Triple Sec']",78,13,4.0
105,Ordinary Drink,Brandy snifter,"['Benedictine', 'Bourbon']",55,10,1.0
106,Ordinary Drink,Cocktail glass,"['Benedictine', 'Bourbon', 'Lemon Peel']",145,10,4.0
107,Ordinary Drink,Cocktail glass,"['Gin', 'Carbonated Water', 'Egg White', 'lemon', 'Light Cream', 'Powdered Sugar']",154,6,8.0
108,Ordinary Drink,Cocktail glass,"['Scotch', 'Drambuie', 'Dry Vermouth', 'Lemon Peel']",160,10,5.999999999999999
109,Ordinary Drink,Cocktail glass,"['Gin', 'Maraschino Liqueur', 'Orange Bitters']",118,13,5.999999999999999
110,Ordinary Drink,Cocktail glass,"['Gin', 'Sweet Vermouth']",67,20,5.999999999999999
111,Ordinary Drink,Collins glass,"['Gin', 'Carbonated Water', 'Dry Vermouth', 'Lemon Peel', 'Orange spiral', 'Powdered Sugar']",255,6,10.0
112,Ordinary Drink,Old-fashioned glass,"['Dark Rum', 'Tia Maria']",95,20,4.0
